,1. open,2. high,3. low,4. close,5. volume,prev_high,prev_low,UBANDS,LBANDS,SMA,RSI
11/29/2002,0,7.505,0,6.845,8546,,,,,,
12/31/2002,6.845,9.66,0,9.05,272716,7.505,0,,,,
1/31/2003,9.05,11.785,8.56,9.29,326672,9.66,0,,,,
2/28/2003,9.535,9.66,0,8.9,75388,11.785,8.56,,,,
3/31/2003,8.83,9.17,0,8.315,25588,9.66,0,,,,
4/30/2003,0,8.805,0,8.68,8636,9.17,0,,,8.5133,
5/30/2003,0,10.22,0,9.315,32418,8.805,0,,,8.925,
6/30/2003,9.29,11.005,8.315,10.075,326464,10.22,0,,,9.0958,
7/31/2003,9.34,17.36,9.34,13.01,843832,11.005,8.315,,,9.7158,
8/29/2003,12.985,14.06,0,11.885,250948,17.36,9.34,,,10.2133,
9/30/2003,11.25,13.205,10.515,11.175,118880,14.06,0,,,10.69,
10/31/2003,11.98,14.45,0,11.74,243940,13.205,10.515,,,11.2,
11/28/2003,11.565,14.55,0,12.08,226778,14.45,0,,,11.6608,
12/31/2003,12.225,18.95,0,16.065,908956,14.55,0,,,12.6592,
1/30/2004,16.115,16.875,0,12.4,310252,18.95,0,,,12.5575,65.0095
2/27/2004,0,13.67,0,11.98,91200,16.875,0,,,12.5733,63.4584
3/31/2004,12.35,12.445,0,11.32,80496,13.67,0,,,12.5975,60.9955
4/30/2004,11.64,13.255,0,12.275,94714,12.445,0,,,12.6867,63.2199
5/31/2004,12.005,14.67,11.495,13.35,224824,13.255,0,,,12.8983,65.5982
6/30/2004,13.205,15.11,12.84,13.815,132382,14.67,11.495,15.4344,6.7221,12.5233,66.6041
7/30/2004,14.185,14.87,12.275,12.69,209110,15.11,12.84,15.3164,7.4246,12.5717,61.889
8/31/2004,12.52,14.085,10.515,13.06,204076,14.87,12.275,15.4315,7.7105,12.7517,62.8213
9/30/2004,13.105,16.63,12.84,14.5,736158,14.085,10.515,15.7439,7.9191,13.2817,66.2784
10/29/2004,14.67,16.26,13.96,14.745,370946,16.63,12.84,15.9896,8.2579,13.6933,66.8433
11/30/2004,15.26,20.27,14.77,17.575,2634870,16.26,13.96,16.7255,8.448,14.3975,72.5613
12/31/2004,17.75,18.5,16.1,17.475,1449824,20.27,14.77,17.2788,8.7742,15.0075,72.0882
1/31/2005,17.625,18,16.525,16.725,942124,18.5,16.1,17.5819,9.2121,15.68,68.482
2/28/2005,16.95,21,16,17.6,6960894,18,16.525,18.048,9.4985,16.4367,70.3458
3/31/2005,18.15,20.05,16.125,17.575,4116664,21,16,18.5665,9.4365,16.9492,70.2181
4/29/2005,17.95,20.95,17.6,19.85,3591618,20.05,16.125,19.5134,9.2861,17.8,74.718
5/31/2005,20.35,29.7,19.85,28.6,20062050,20.95,17.6,23.1044,7.4376,19.6375,84.45
6/30/2005,29.1,31.2,26.2,26.975,17032434,29.7,19.85,25.1949,6.8706,21.2208,78.4132
7/29/2005,26.15,30.5,25.15,28.275,6681508,31.2,26.2,27.2431,6.4419,23.1458,79.6655
8/31/2005,28.9,36.675,25.95,36.675,12746720,30.5,25.15,31.3811,4.3649,26.325,85.5135
9/30/2005,38,43.7,25.925,27.725,28634882,36.675,25.95,32.5512,4.7273,28.0167,64.2962
10/31/2005,27.75,31,23.8,27.625,6424760,43.7,25.925,33.506,5.337,29.3125,64.1048
11/30/2005,29,32.875,27.775,31.325,6396646,31,23.8,34.8988,5.9447,29.7667,67.9108
12/30/2005,29.55,33.65,29.15,31.175,5714612,32.875,27.775,36.0591,6.6744,30.4667,67.5979
1/31/2006,32.2,37,31.05,35.575,15403834,33.65,29.15,37.9197,7.0363,31.6833,71.7151
2/28/2006,33.275,37.225,32.1,34.15,12172172,37,31.05,39.1966,7.7929,31.2625,68.6717
3/31/2006,34,36.675,30.725,32.575,6694926,37.225,32.1,39.8427,9.1353,32.0708,65.3698
4/28/2006,32.575,41.325,30,33.725,11528610,36.675,30.725,40.4354,10.6091,33.0875,66.6314
5/31/2006,35.85,47.95,31.5,44.625,74250974,41.325,30,43.2153,10.8417,35.3042,75.6765
6/30/2006,45.4,50.9,26.575,33.75,105408030,47.95,31.5,43.3819,12.5756,35.7333,58.6072
7/31/2006,33.825,34.675,25.5,29.45,14801574,50.9,26.575,43.2229,13.9221,34.7125,53.4715
8/31/2006,29.6,35.6,28.625,32.25,17082682,34.675,25.5,43.1143,15.5082,34.3958,56.1652
9/29/2006,32.5,44.25,30.9,38.95,96643870,35.6,28.625,43.5558,17.2892,35.4583,61.8557
10/31/2006,39.4,41.925,35.85,35.975,21406176,44.25,30.9,43.274,19.4085,35.8333,58.2403
11/30/2006,35.875,42,33.625,39.55,22529130,41.925,35.85,43.0765,21.8035,34.9875,61.1769
12/29/2006,39.5,40.375,35.75,37.525,7740138,42,33.625,42.4606,24.1869,35.6167,58.6606
1/31/2007,37.9,44.2,37.65,39.6,19221102,40.375,35.75,43.1305,24.617,37.3083,60.4555
2/28/2007,40.075,44.5,33.175,35.5,10621982,44.2,37.65,43.0161,25.5839,37.85,55.3424
3/30/2007,36,36.8,29.5,30.55,2076352,44.5,33.175,42.8678,25.9597,36.45,49.8596
4/30/2007,29.8,34.5,28.5,31.6,1670488,36.8,29.5,42.632,25.688,35.7208,50.9692
5/31/2007,32.1,36.95,30.35,33.95,4145336,34.5,28.5,42.4157,26.5268,34.7875,53.4521
6/29/2007,34.5,46.7,34.4,41.775,35983996,36.95,30.35,43.0785,27.279,35.4958,60.6057
7/31/2007,42,45,37.5,39.275,11506442,46.7,34.4,43.4604,27.6921,35.4417,57.562
8/31/2007,38.275,38.875,31.15,34.225,2765466,45,37.5,43.3811,28.0764,35.2292,51.8927
9/28/2007,34.85,38.85,33.55,36.9,7039752,38.875,31.15,43.4638,28.1262,36.2875,54.4518
10/31/2007,37.45,57.5,31,56.65,28544202,38.85,33.55,48.7603,25.0797,40.4625,67.9905
11/30/2007,57.7,82,53,75.05,16004332,57.5,31,59.2713,18.8162,47.3125,75.3436
12/31/2007,78.125,108.075,77.475,108.075,4820228,82,53,78.8345,6.688,58.3625,82.9252
1/31/2008,113.4,127,86.3,99.125,6607824,108.075,77.475,89.147,1.8255,68.3375,76.0962
2/29/2008,104,118.7,91.95,92.725,4437532,127,86.3,96.2913,0.5787,78.0875,71.5581
3/31/2008,89.025,91,50.8,53.55,1108578,118.7,91.95,96.7311,2.5489,80.8625,51.3655
4/30/2008,54.4,63,51,58.7,1187582,91,50.8,97.5082,4.4168,81.2042,53.2338
5/30/2008,60,65.75,52.5,57.35,3851358,63,51,98.1688,5.5962,78.2542,52.6627
6/30/2008,57.5,57.5,42.075,44.25,2097438,65.75,52.5,98.1523,6.4402,67.6167,47.3537
7/31/2008,44.25,60.5,43.575,56.325,1503212,57.5,42.075,98.6401,7.6299,60.4833,52.1428
8/29/2008,56.3,59.5,51.775,57.9,357436,60.5,43.575,99.1245,9.183,54.6792,52.7466
9/30/2008,52.5,59.65,38.275,43.075,395972,59.5,51.775,99.0984,9.5566,52.9333,46.7656
10/31/2008,43.625,44.25,19.25,32.875,1193994,59.65,38.275,99.202,9.1905,48.6292,43.141
11/28/2008,33.75,42.5,31.575,32.5,929474,44.25,19.25,99.1021,9.4854,44.4875,43.009
12/31/2008,32.5,47.375,29.975,43.175,701634,42.5,31.575,98.7835,10.9615,44.3083,47.8957
1/30/2009,43.25,47.175,30.55,31.65,635156,47.375,29.975,98.8985,10.6165,40.1958,43.5537
2/27/2009,32.975,38.25,25.025,26.525,4165266,47.175,30.55,99.5121,8.4779,34.9667,41.7415
3/31/2009,25.125,31.675,22.575,27.125,2112548,38.25,25.025,99.9858,6.7892,32.3083,42.0456
4/30/2009,27.05,44.35,27.05,35.975,4245712,31.675,22.575,99.9354,7.0146,32.825,46.4819
5/29/2009,37.5,65.3,35.55,65.3,6968082,44.35,27.05,100.9767,8.8133,38.2917,57.9643
6/30/2009,68.325,82.5,60.75,76.275,11690286,65.3,35.55,102.8919,8.8606,43.8083,61.3099
7/31/2009,76.475,78.25,51.1,67.05,6369254,82.5,60.75,101.9658,8.9867,49.7083,57.1897
8/31/2009,69,71.25,60,68.125,5298040,78.25,51.1,93.7775,13.18,56.6417,57.5477
9/30/2009,68.2,75,63.8,72.75,12843244,71.25,60,87.8615,16.4585,64.2458,59.1313
10/30/2009,72.95,109.8,68.5,86.2,44519038,75,63.8,86.1384,17.5291,72.6167,63.4065
11/30/2009,85,102.5,79.5,99.75,15493442,109.8,68.5,94.3192,13.9683,78.3583,67.1363
12/31/2009,100.5,104.5,92.25,94.175,12724576,102.5,79.5,99.7106,12.1244,81.3417,64.2353
1/29/2010,94.95,110.475,93.5,98.35,12536586,104.5,92.25,105.5145,10.4205,86.5583,65.4397
2/26/2010,97,99.875,86.9,93.575,1838106,110.475,93.5,109.9548,10.9127,90.8,62.8335
3/31/2010,94.5,108.625,92.65,102.65,23515218,99.875,86.9,115.513,9.987,95.7833,65.6347
4/30/2010,104.075,132.5,102.75,118.175,8034710,108.625,92.65,123.7059,7.8216,101.1125,69.8246
5/31/2010,118.25,121.7,101,116.45,4251528,132.5,102.75,130.3777,8.4873,103.8958,68.8206
6/30/2010,116,118.85,111,117,4366530,121.7,101,135.5159,11.7616,107.7,68.9737
7/30/2010,118.45,140.45,113.5,138,6898672,118.85,111,143.7788,14.0487,114.3083,74.1883
8/31/2010,137.5,146.975,128.1,134.525,16394118,140.45,113.5,150.4671,16.4954,121.1333,72.0309
9/30/2010,136.225,162.625,133.5,143.325,10498736,146.975,128.1,156.4545,21.6755,127.9125,74.086
10/29/2010,144.7,164.475,130.5,156.3,5703520,162.625,133.5,162.5969,28.5106,134.2667,76.7936
11/30/2010,159.325,174.25,127,137.375,7955206,164.475,130.5,162.6011,39.5314,137.7542,65.9672
12/31/2010,140,161.975,127.25,152.05,12445474,174.25,127,164.5268,49.2132,143.5958,69.5518
1/31/2011,156,161.5,113.65,129.575,8134174,161.975,127.25,165.2243,54.9432,142.1917,59.2575
2/28/2011,133.5,136.85,115.625,124.975,6340122,161.5,113.65,165.7401,59.2974,140.6,57.3854
3/31/2011,129.5,137.575,103.675,134.05,9830402,136.85,115.625,165.5362,66.2013,139.0542,60.0658
4/29/2011,133.975,144,122.575,124.75,4350618,137.575,103.675,163.3618,74.0382,133.7958,56.1669
5/31/2011,126.45,128.85,110,125.625,3571668,144,122.575,160.7649,81.9226,131.8375,56.4533
6/30/2011,120.55,126.5,98.1,111.125,6785648,128.85,110,158.9449,86.2351,125.0167,50.5578
7/29/2011,112.5,114.25,100.8,104.3,5945432,126.5,98.1,158.6511,86.9839,120.8042,48.016
8/30/2011,105.1,112.725,95.8,111.85,4052374,114.25,100.8,157.4785,89.924,118.6167,50.9536
9/30/2011,112,120.45,100.7,117.75,16944082,112.725,95.8,156.541,92.8015,115.9,53.1801
10/31/2011,115.5,116.25,106.25,113.95,3654392,120.45,100.7,154.6922,96.6878,114.1,51.5567
11/30/2011,112.5,113,91.45,92.475,3625632,116.25,106.25,156.0774,94.2851,108.575,43.479
12/30/2011,95.475,111.65,87.85,90.275,12675494,113,91.45,158.1469,89.4256,105.1,42.7402
1/31/2012,89,119.2,87.08,116.925,10741300,111.65,87.85,158.151,89.469,107.2042,53.1297
2/29/2012,117.35,135,110.05,125.075,13916318,119.2,87.08,158.4146,90.0129,109.4083,55.7726
3/30/2012,126.15,129.875,112.7,119.625,16237936,135,110.05,156.948,89.642,109.7208,53.5962
4/30/2012,118.25,129.2,108.25,109.5,3493502,129.875,112.7,155.7943,88.2932,108.9792,49.7148
5/31/2012,110,114,81.5,93.4,10267480,129.2,108.25,154.0103,85.0847,109.1333,44.2297
6/29/2012,92.05,92.075,77.55,82.7,6487814,114,81.5,149.556,82.179,107.8708,40.9926
7/31/2012,83.175,93,71.725,72.525,20659332,92.075,77.55,149.7203,75.5297,100.4708,38.1345
8/31/2012,73.1,86.95,72.6,83.5,6767404,93,71.725,143.6628,74.7322,93.5417,42.7696
9/28/2012,84.125,101.9,79.24,100.375,5213384,86.95,72.6,141.0819,74.3931,90.3333,49.0861
10/31/2012,100,109.25,93.3,95.725,6299850,101.9,79.24,139.0275,73.5225,88.0375,47.5294
11/30/2012,95.35,104.75,83.85,100.1,10805504,109.25,93.3,134.8188,74.3362,89.1542,49.1629
12/31/2012,100.475,104.25,86.75,90.45,9089654,104.75,83.85,132.2105,73.5145,90.4458,45.7776
1/31/2013,91.2,112.35,90.775,103.7,16315764,104.25,86.75,129.2073,74.3252,95.6417,50.7884
2/28/2013,103.25,106.9,83,83.65,2794138,112.35,90.775,128.5631,72.2219,95.6667,44.1409
3/28/2013,83.875,90.2,74.35,81.05,7603582,106.9,83,128.5549,69.9051,92.4458,43.3486
4/30/2013,81.525,92,78.55,87.35,3174102,90.2,74.35,127.1653,68.8447,91.05,45.8834
5/31/2013,87.925,94.75,79.65,81.275,5898438,92,78.55,124.7299,67.6326,87.9125,43.8461
6/28/2013,82.375,88.25,78.5,79.875,3788214,94.75,79.65,122.6457,66.3093,86.15,43.3682
7/31/2013,80.425,82.175,64.075,64.625,4510328,88.25,78.5,124.1192,62.0508,79.6375,38.4517
8/30/2013,65,75.375,55.3,59.225,4721080,82.175,64.075,125.9011,57.1639,75.5667,36.8583
9/30/2013,56.5,63.5,50.8,51.95,5594594,75.375,55.3,124.6621,51.9054,70.7167,34.768
10/31/2013,52.25,80,51.425,76.25,47028720,63.5,50.8,118.3661,53.3189,68.8667,45.8207
11/29/2013,76.375,87,66.8,84.9,18591798,80,51.425,112.7009,55.5116,69.4708,49.1252
12/31/2013,85.05,116.45,80.675,106.475,28748054,87,66.8,112.0382,55.8718,73.9042,56.2868
1/31/2014,106.925,121.225,97.55,106.475,27629964,116.45,80.675,114.1138,55.1037,80.8792,56.2868
2/28/2014,106.75,114.2,99.6,112.225,8897156,121.225,97.55,117.9226,54.2474,89.7125,58.1094
3/31/2014,112.425,117.4,100.52,109.375,13823636,114.2,99.6,120.6653,55.1897,99.2833,56.8443
4/30/2014,109.05,128,107.05,113.175,17981416,117.4,100.52,123.8572,54.9653,105.4375,58.1525
5/30/2014,114.5,171.825,110.05,151.625,24671656,128,107.05,135.681,48.2665,116.5583,68.5435
6/30/2014,152.475,189.75,151.5,181.35,26539896,171.825,110.05,154.8367,37.6733,129.0375,73.9324
7/31/2014,181.5,213,175,177.475,30678638,189.75,151.5,168.5951,31.6524,140.8708,72.196
8/28/2014,175.5,183.925,161.5,178.325,14666538,213,175,180.7768,28.2582,151.8875,72.3494
9/30/2014,181.4,188.2,153.4,166.975,15661104,183.925,161.5,188.6473,26.7152,161.4875,67.0312
10/31/2014,170.025,187.9,153,184.325,12580182,188.2,153.4,199.3954,26.0346,173.3458,70.5901
11/28/2014,186.1,213.95,182.25,202.2,32962492,187.9,153,212.4085,25.1365,181.775,73.7357
12/31/2014,202.2,217.8,190.15,197.375,27467534,213.95,182.25,222.6853,25.8622,184.4458,71.5123
1/30/2015,196.825,251,196.7,235.375,74186468,217.8,190.15,239.4324,24.5251,194.0958,77.3143
2/28/2015,237.45,259.4,231.12,246.82,30443744,251,196.7,248.0817,7.8883,164.375,32.7802
3/31/2015,250,284.6,223,233.825,25035168,259.4,231.12,261.2426,11.6474,175.5167,58.4097
4/30/2015,234.45,243.725,211,223.225,30267380,284.6,223,269.6212,19.6688,182,57.3423
5/29/2015,224.2,229.6,209,220.825,35582960,243.725,211,274.6456,31.5319,185.1042,57.0879
6/30/2015,221.35,225,180.5,210.475,28859568,229.6,209,278.4327,41.1673,187.2875,55.9356
7/31/2015,210.775,252.25,204.025,240.675,54230390,225,180.5,285.983,49.1945,188.1708,58.5639
8/31/2015,242,267.85,202.575,229.55,38966886,252.25,204.025,291.5839,55.9011,226.4292,57.2101
9/30/2015,230.5,231,198.3,219.95,24209799,267.85,202.575,294.6545,64.178,224.1167,56.007
10/30/2015,221.4,241.9,212.2,224.8,22091500,231,198.3,297.5712,72.5188,224.3792,56.5047
11/30/2015,224.4,226.5,205.35,223.4,15836807,241.9,212.2,298.8256,82.6669,224.8083,56.3067
12/31/2015,223.4,240.25,208.8,235.25,13745082,226.5,205.35,300.4105,93.2895,228.9375,57.6591
1/29/2016,235.9,238.4,176.3,183.8,18979451,240.25,208.8,300.1418,96.7757,219.4583,50.3691
2/29/2016,186,195.9,140.3,153.6,33475751,238.4,176.3,300.3943,93.7482,206.8,46.6413
3/31/2016,156.25,197,155.1,196.35,29200838,195.9,140.3,300.9489,95.0811,202.8667,52.051
4/29/2016,197.9,210.7,184.4,198.3,23412515,197,155.1,301.551,96.4765,198.45,52.2886
5/31/2016,197.3,207.3,183,198.5,32870654,210.7,184.4,302.0725,99.1075,194.3,52.3147
6/30/2016,200.3,215.9,186,203.7,45200067,207.3,183,302.7712,100.3463,189.0417,53.0341
7/29/2016,204,227.5,204,223.2,38355161,215.9,186,304.2608,100.9567,195.6083,55.7313
8/31/2016,223.8,294.65,220.2,290.6,62869832,227.5,204,315.8483,98.6917,218.4417,63.5277
9/30/2016,291.15,304.45,267,283.8,46571178,294.65,220.2,322.7363,96.6462,233.0167,62.3349
10/28/2016,286.6,336.2,278,328.1,55510437,304.45,267,301.6789,150.5136,254.65,66.719
11/30/2016,330.2,332.45,213.7,256.5,86643208,336.2,278,303.9146,150.5454,264.3167,55.4791
12/30/2016,256.8,259,227.2,243.65,38579683,332.45,213.7,305.2387,151.2638,270.975,53.7297
1/31/2017,249,292.35,240.6,284.55,63242851,259,227.2,312.118,150.757,281.2,58.2431
2/28/2017,287.15,338.95,284.3,333.15,57610699,292.35,240.6,328.8951,146.2474,288.2917,62.8769
3/31/2017,333.15,371.5,320,367.15,43231324,338.95,284.3,351.3021,136.4879,302.1833,65.7412
4/28/2017,370,441.15,367.5,426.75,43391035,371.5,320,387.1471,120.3629,318.625,70.0967
5/31/2017,429.45,454.9,387.2,416.65,52185487,441.15,367.5,413.5398,113.6402,345.3167,68.5072
6/30/2017,417.7,468.7,410.25,437.2,46324565,454.9,387.2,440.8262,107.5938,377.575,69.9979
7/31/2017,437.2,478.65,428.3,456.75,42176864,468.7,410.25,468.5364,103.2186,406.275,71.3856
8/31/2017,459,507.9,391.2,505.2,69521935,478.65,428.3,503.687,95.063,434.95,74.5297
9/29/2017,507.2,618,502.15,549.65,126580598,507.9,391.2,541.857,93.478,465.3667,77.024
10/31/2017,561.15,653.3,520.5,642.75,174792592,618,502.15,594.3557,89.8943,501.3667,81.181
11/30/2017,649,679,608.05,616.55,100571999,653.3,520.5,632.7021,93.5679,534.6833,76.961
12/29/2017,619.7,635.5,570.25,582.7,46000472,679,608.05,656.9391,107.7709,558.9333,71.7701
1/31/2018,582,638,565.55,582.2,65054686,635.5,570.25,675.6773,127.4027,579.8417,71.6932
2/28/2018,586.5,595.75,468.8,546.2,90111111,638,565.55,683.8731,153.4569,586.675,66.1924
3/28/2018,544.9,553.05,480.45,510.15,88277587,595.75,468.8,685.0929,180.9321,580.0917,61.1339
4/30/2018,515.1,658.65,512.25,641,134825883,553.05,480.45,709.2065,191.8585,579.8,70.0736
5/31/2018,646.9,680.55,592.1,613.15,97597246,658.65,512.25,723.04,210.9601,579.2333,66.5642
6/29/2018,613,654,581.15,637.55,113336587,680.55,592.1,740.4603,224.4847,588.375,68.0728
7/23/2018,643,643.25,0,610.15,66797790,654,581.15,741.722,258.588,593.0333,64.5506
